file_path,file_name,creation,duration,resolution,fps,desc
./data/videos/pond-water-rotifers/2020_0107_010256_004.MP4,2020_0107_010256_004.MP4,1706962373.646495,49.93,"[1920, 1080]",30.0,
./data/videos/pond-water-rotifers/2020_0109_035310_014.MP4,2020_0109_035310_014.MP4,1706962373.7290556,128.23,"[1920, 1080]",30.0,
./data/videos/pond-water-rotifers/2020_0109_060802_030.MP4,2020_0109_060802_030.MP4,1706962373.6985488,64.17,"[1920, 1080]",30.0,
./data/videos/pond-water-rotifers/2024_0104_121454_057.MP4,2024_0104_121454_057.MP4,1706962373.6516593,100.8,"[1920, 1080]",30.0,
./data/videos/pond-water-rotifers/2024_0109_113533_051.MP4,2024_0109_113533_051.MP4,1706962373.7073648,134.13,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0116_120310_060.MP4,2024_0116_120310_060.MP4,1706962373.7023475,77.12,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_121239_064.MP4,2024_0116_121239_064.MP4,1706962373.6410546,217.8,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_150020_071.MP4,2024_0116_150020_071.MP4,1706962373.7236798,205.52,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_171238_072.MP4,2024_0116_171238_072.MP4,1706962373.6498165,87.65,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_181251_078.MP4,2024_0116_181251_078.MP4,1706962373.7197983,69.08,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_181435_079.MP4,2024_0116_181435_079.MP4,1706962373.6532629,125.37,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_181704_080.MP4,2024_0116_181704_080.MP4,1706962373.644764,108.93,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_181908_081.MP4,2024_0116_181908_081.MP4,1706962373.6369586,25.87,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_181949_082.MP4,2024_0116_181949_082.MP4,1706962373.7254233,55.08,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0116_182201_083.MP4,2024_0116_182201_083.MP4,1706962373.7182438,81.63,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0118_195649_072.MP4,2024_0118_195649_072.MP4,1706962373.7107854,28.67,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0119_121900_084.MP4,2024_0119_121900_084.MP4,1706962373.7048903,131.96,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0119_123829_089.MP4,2024_0119_123829_089.MP4,1706962373.6481776,280.88,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0119_124327_090.MP4,2024_0119_124327_090.MP4,1706962373.639391,5.04,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0119_131319_096.MP4,2024_0119_131319_096.MP4,1706962373.7091434,45.04,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0119_151021_101.MP4,2024_0119_151021_101.MP4,1706962373.696721,67.96,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0126_162412_122.MP4,2024_0126_162412_122.MP4,1706962373.7271557,120.63,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0126_162616_123.MP4,2024_0126_162616_123.MP4,1706962373.716256,29.88,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0126_162729_125.MP4,2024_0126_162729_125.MP4,1706962373.721493,63.15,"[1920, 1080]",60.0,
./data/videos/pond-water-rotifers/2024_0126_191658_153.MP4,2024_0126_191658_153.MP4,1706962373.642712,5.19,"[1280, 720]",120.0,
./data/videos/pond-water-rotifers/2024_0128_184102_011.MP4,2024_0128_184102_011.MP4,1706962373.7145488,194.63,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0130_180117_035.MP4,2024_0130_180117_035.MP4,1706962373.6552153,95.38,"[2880, 2160]",24.0,
./data/videos/pond-water-rotifers/2024_0130_203901_037.MP4,2024_0130_203901_037.MP4,1706962373.7127066,140.04,"[2880, 2160]",24.0,
